class,base_f1,new_f1,delta,support
read_file,0.49426605504587157,0.4955137481910275,0.001247693145155937,1836
grep_search,0.5586622807017544,0.557883131201764,-0.0007791494999903614,2002
list_directory,0.4160074453234062,0.41966317705962675,0.0036557317362205244,890
glob_pattern,0.5637982195845698,0.5698871996076508,0.006088980023081003,1059
edit_file,0.8774597495527728,0.881619937694704,0.004160188141931198,2291
write_file,0.978494623655914,0.9731663685152058,-0.005328255140708227,278
apply_patch,0.7586520947176685,0.7686635944700461,0.010011499752377584,1013
run_bash,0.7333682556312205,0.7337830825116762,0.0004148268804556876,977
run_tests,0.6764705882352942,0.6888536714210248,0.01238308318573067,910
lint_or_typecheck,0.5502645502645502,0.5635555555555556,0.013291005291005353,501
ask_user,0.56036866359447,0.5591798695246971,-0.0011887940697729027,559
plan_task,0.5429141716566867,0.545816733067729,0.0029025614110423925,515
web_search,0.5325077399380805,0.5238828967642527,-0.008624843173827834,273
respond_only,0.9964982491245623,0.9974987493746873,0.0010005002501249916,1002
