name,macro_f1,accuracy,changes_vs_advanced
override_transformer_stronger_thr0.0,0.7195199642764323,0.7185594782362116,1462
override_transformer_stronger_thr0.4,0.7192002722591522,0.7184885864171274,984
override_transformer_stronger_thr0.6,0.71749988241479,0.7175669927690345,384
override_transformer_stronger_thr0.5,0.7174006337359499,0.7172834254926982,550
override_transformer_stronger_thr0.7,0.7173550618683785,0.7168580745781937,296
override_transformer_stronger_thr0.8,0.7166483741615643,0.7158655891110166,231
override_transformer_stronger_thr0.9,0.7158486410121299,0.7145895363675032,137
inspect_only_thr0.0,0.7155412081827129,0.715369346377428,1113
inspect_only_thr0.4,0.7148020079320927,0.7149439954629235,650
inspect_only_thr0.5,0.7131318985219696,0.7135261590812421,231
inspect_only_thr0.6,0.7131152808359708,0.7136679427194101,102
inspect_only_thr0.7,0.7126697742894409,0.7129590245285694,55
inspect_only_thr0.8,0.7124899825713218,0.7127463490713172,32
inspect_only_thr0.9,0.7114158277139015,0.7111158372323834,3
advanced,0.7113236414043568,0.7109740535942153,0
transformer,0.6868160098517185,0.7027506025804622,2375
