label,precision,recall,f1,support
read_file,0.14141907475240809,0.5630333801447553,0.22605829285218598,9257
grep_search,0.35568181818181815,0.03157788539144472,0.05800593031875463,9912
list_directory,0.1600609756097561,0.024255024255024255,0.04212637913741224,4329
glob_pattern,0.07944223107569721,0.18868281604844814,0.11180890434002468,5284
edit_file,0.2069019241255745,0.23775848178318862,0.22125958013995334,11171
write_file,1.0,0.09925725860904794,0.18058968058968058,1481
apply_patch,0.24897959183673468,0.025295459257723408,0.04592508940335027,4823
run_bash,0.49347568208778175,0.08208366219415943,0.1407545254610049,5068
run_tests,0.3927958833619211,0.05020828765621574,0.0890357698289269,4561
lint_or_typecheck,0.2088888888888889,0.04117389399912396,0.06878887669227955,2283
ask_user,0.4351032448377581,0.10921880784894483,0.17460787215152412,2701
plan_task,0.4083333333333333,0.07316162747293767,0.12408990186767964,2679
web_search,0.22929936305732485,0.028279654359780047,0.05034965034965035,1273
respond_only,1.0,0.4623406720741599,0.6323296354992076,5178
