true,read_file,grep_search,list_directory,glob_pattern,edit_file,write_file,apply_patch,run_bash,run_tests,lint_or_typecheck,ask_user,plan_task,web_search,respond_only
read_file,5212,276,215,1841,1712,0,0,0,1,0,0,0,0,0
grep_search,5600,313,228,1948,1823,0,0,0,0,0,0,0,0,0
list_directory,2413,125,105,905,781,0,0,0,0,0,0,0,0,0
glob_pattern,3048,165,108,997,966,0,0,0,0,0,0,0,0,0
edit_file,6130,0,0,2017,2656,0,368,0,0,0,0,0,0,0
write_file,800,0,0,281,253,147,0,0,0,0,0,0,0,0
apply_patch,2733,0,0,891,1077,0,122,0,0,0,0,0,0,0
run_bash,2509,0,0,862,852,0,0,416,239,190,0,0,0,0
run_tests,2342,1,0,777,765,0,0,280,229,166,1,0,0,0
lint_or_typecheck,1185,0,0,398,347,0,0,147,112,94,0,0,0,0
ask_user,1295,0,0,441,413,0,0,0,1,0,295,189,67,0
plan_task,1302,0,0,447,424,0,0,0,1,0,255,196,54,0
web_search,621,0,0,197,197,0,0,0,0,0,127,95,36,0
respond_only,1665,0,0,548,571,0,0,0,0,0,0,0,0,2394
