name,macro_f1,delta,inspect_f1,inspect_delta,changed,min_fold_macro_f1,mean_fold_macro_f1,read_file_f1,grep_search_f1,list_directory_f1,glob_pattern_f1,folds
base_strict_distill_bias,0.7240839152200848,0.0,0.5648973273278388,0.0,0,0.7222995201023649,0.7240415671187,0.55749377002492,0.5972642672945397,0.468506854390515,0.6363244176013805,0.722300;0.723692;0.722551;0.727639;0.724026
template_s3_p0.7,0.7240839152200848,0.0,0.5648973273278388,0.0,0,0.7222995201023649,0.7240415671187,0.55749377002492,0.5972642672945397,0.468506854390515,0.6363244176013805,0.722300;0.723692;0.722551;0.727639;0.724026
template_s5_p0.7,0.7240839152200848,0.0,0.5648973273278388,0.0,0,0.7222995201023649,0.7240415671187,0.55749377002492,0.5972642672945397,0.468506854390515,0.6363244176013805,0.722300;0.723692;0.722551;0.727639;0.724026
template_s5_p0.8,0.7240839152200848,0.0,0.5648973273278388,0.0,0,0.7222995201023649,0.7240415671187,0.55749377002492,0.5972642672945397,0.468506854390515,0.6363244176013805,0.722300;0.723692;0.722551;0.727639;0.724026
template_s10_p0.75,0.7240839152200848,0.0,0.5648973273278388,0.0,0,0.7222995201023649,0.7240415671187,0.55749377002492,0.5972642672945397,0.468506854390515,0.6363244176013805,0.722300;0.723692;0.722551;0.727639;0.724026
template_s3_p0.6,0.7240587392634656,-2.5175956619105655e-05,0.564809211479672,-8.811584816681428e-05,3,0.7222376350724006,0.724015786278757,0.5574204048418269,0.5972642672945397,0.4683649837887911,0.6361871899935303,0.722238;0.723640;0.722551;0.727639;0.724011
template_s2_p0.6,0.7240472860997268,-3.662912035795607e-05,0.5647691254065861,-0.00012820192125273522,5,0.7222376350724006,0.7240043686827324,0.5573920561460611,0.5972307864790627,0.46826646900769014,0.6361871899935303,0.722238;0.723640;0.722551;0.727644;0.723949
logreg_word_m1.5,0.7231103961670957,-0.0009735190529890358,0.561490010642377,-0.003407316685461792,3753,0.7212608928728422,0.7230732834537713,0.5525531696290968,0.5943707682838117,0.4685851762746368,0.6304509283819628,0.721261;0.722798;0.721279;0.727103;0.722926
svc_word_char_m1.5,0.7230899120763196,-0.0009940031437651875,0.5614183163246609,-0.003479011003177934,2425,0.7211298792313504,0.7230506760365104,0.5533653355122051,0.5944708182072047,0.46770601336302897,0.6301310982162046,0.721130;0.723357;0.721676;0.726661;0.722430
logreg_word_m1.0,0.720504658103818,-0.003579257116266721,0.5523699274209054,-0.012527399906933412,8508,0.7178496874444865,0.7204706667081716,0.5386591183100068,0.5857126985890456,0.46805362921867777,0.6170542635658914,0.717850;0.721141;0.719320;0.724162;0.719881
svc_word_char_m1.0,0.7195700200278141,-0.004513895192270634,0.5490986941548914,-0.015798633172947385,6642,0.7171628233268631,0.7195332796361816,0.5387309435517099,0.5865215479331575,0.4603638420209256,0.6107784431137725,0.717700;0.720652;0.717163;0.722737;0.719415
logreg_word_m0.5,0.7117914238791908,-0.01229249134089394,0.5218736076347098,-0.043023719693129014,16773,0.7092145119976783,0.711772187250989,0.4970174574508838,0.5585839939189923,0.4613953488372093,0.5704976303317536,0.709811;0.712816;0.709215;0.715924;0.711096
svc_word_char_m0.5,0.7089681183321653,-0.01511579688791942,0.5119920382201208,-0.05290528910771797,15060,0.7063527272539074,0.7089544223001912,0.4998690893857674,0.5543362454719796,0.43577753457367424,0.5579852834490621,0.706353;0.709992;0.706682;0.712998;0.708748
logreg_word_m0.2,0.7023219280051045,-0.02176198721498024,0.4887303720754079,-0.07616695525243089,23516,0.6987198378051417,0.7023086840733823,0.45270807312365163,0.5310149874659982,0.4471009036144578,0.5240975240975241,0.700135;0.703822;0.698720;0.706363;0.702504
svc_word_char_m0.2,0.6955250831202339,-0.028558832099850884,0.46494141497836056,-0.09995591234947826,22590,0.6915404707728109,0.6955257670332914,0.45859940400170285,0.5189413596263622,0.3894625922023182,0.4927623040830588,0.692871;0.697541;0.691540;0.699973;0.695703
logreg_word_m0.0,0.6939534420698626,-0.030130473150222103,0.45944067130206123,-0.10545665602577758,28787,0.6910608152897203,0.6939282718785293,0.41496044671940435,0.5070303860129549,0.4318509269042359,0.48392092557164984,0.691674;0.695653;0.691061;0.697002;0.694251
svc_word_char_m0.0,0.6815886567090448,-0.04249525851103997,0.41616392253919865,-0.14873340478864017,28787,0.6782609825021085,0.6815717683840641,0.4139196115457243,0.481216091718702,0.33769087114138197,0.43182911575098626,0.678839;0.683715;0.678261;0.684317;0.682727
